movie|celeb|review
Starlight And Superfish 2010|Steve Kopera|Nick appears in his apartment - confused and disoriented. He discovers he can't move anything. He can't open the medicine cabinet, can't pick up a Perrier bottle, can't even feed his fish! A naturally nervous person, Nick panics. Suddenly, a British glam-rock band bursts in the door. The band informs Nick that he is dead, and he's stuck in his apartment. To escape, he must learn all the valuable life lessons he ignored while he was alive. Then, he will be judged by God and sent either to Heaven or Hell - a jarring concept for an atheist. With the rock band serving as his modern-day Greek chorus, Nick must rely on Rex, the hot-headed, half-drunken lead singer as his spiritual guide to avoid the fiery pits of Hell. Further complicating matters is the new tenant, Beth. An evangelical Christian who is unaware that Nick and the other spirits are sharing the apartment with her...
Transformers The Movie|Michael Bay|The interstellar battle between the Autobots and Decepticons rains destruction down on planet Earth as director Michael Bay adapts Hasbro and Takara's popular Transformers franchise into a big-budget, live-action summer tentpole extravaganza in this ambitious sci-fi action feature starring Shia LaBeouf, Tyrese Gibson, Bernie Mac, John Turturro, Jon Voight, and, of course, Optimus Prime and Megatron. Long ago, on the planet of Cybertron, a massive, powerful alien race divided into two factions, the noble Autobots, and the devious Decepticons. They fought for the sole access to a talisman known as the Allspark, a cube with the capacity to grant infinite power, and eventually the Autobots smuggled it off the planet's surface, hiding it in an unknown location on Earth. Now, hundreds of years later, the Deceptacons have come looking for it, and if the Autobots don't find it first, the Earth will be enslaved or destroyed by the evil aliens' use of its massive power. The Autobots don't know where the cube was hidden, but the information may be stored in the most unlikely of sources, as a gangly young Earthling named Sam Witwicky (LaBeouf) who's just picked up his first car, has a strange connection to the Allspark's history, making him the unlikely ally of these enormous creatures, as they fight for humankind's survival and the chance to return home. ~ Jason Buchanan, Rovi
Assassin For Hire|Michael McCarthy|Long before it concentrated on its series of Edgar Wallace mysteries, the British Merton Park studios cut its teeth on taut little home-grown melodramas. Assassin for Hire stars Sydney Tafler as Antonio Riccardi, a professional killer who has long managed to elude the law. Inspector Carson (Ronald Howard) is determined to bring Riccardi to justice, but has no evidence to work with. In a peculiar twist of fate, Riccardi is brought to heel by a crime he didn't commit. Beyond its better-than-usual production values, Assassin for Hire permits us a glimpse at Ronald Howard impersonating a detective several years before starring in the Sherlock Holmes TV series. ~ Hal Erickson, Rovi
No Highway In The Sky|Henry Koster|Considered a bit eccentric and therefore a tad unreliable, a Royal Aircraft Establishment metallurgist is still respected for his work on the company's newly designed Reindeer, aircraft. Unfortunately, the off-beat scientist has discovered that the new plane has a fatal flaw and that after spending 1,440 hours airborne, the metal in the rear will buckle and the tail will shear off. Now he must somehow convince skeptical executives that a terrible catastrophe will occur if they do not immediately ground all Reindeers.
Operation Amsterdam|Michael McCarthy|One of the covert operations at the beginning of World War II is enacted in this fast-paced docudrama about a government-approved diamond heist. A Major from the British army (Tony Britton) joins up with a Dutch diamond expert (Alexander Knox) and another adventurous Dutchman (Peter Finch) to steal a fortune in diamonds from a bank vault in Amsterdam before the Nazis completely close off the city. The trio are launched under the covering fire of a British battleship in the harbor and then chauffeured into Amsterdam by Anna (Eva Bartok), one of many people they encounter who could be either friend or foe. There is no time to waste in emptying the bank vault because it is estimated that the city will be overrun by the Nazi army in just fourteen hours. Meanwhile, the war is intensifying all around them, and the Nazi soldiers already on patrol are a continual threat. ~ Eleanor Mannikka, Rovi
Mission Impossible 3|J.J. Abrams|The third entry in Tom Cruise's Mission: Impossible film series involves super Impossible Mission Forces (IMF) agent Ethan Hunt (Cruise) being forced back into the field just when he was planning on marrying his girlfriend, Julia (Michelle Monaghan). The agency asks Hunt to save an operative (Keri Russell) he trained after weapons dealer Owen Davian (Philip Seymour Hoffman) kidnaps her. With the help of his field team -- played by Ving Rhames, Jonathan Rhys-Meyers, and Maggie Q -- Hunt achieves his goal, but becomes involved in a web of double-crosses that leave him wondering if he can trust his superiors (Billy Crudup and Laurence Fishburne). Eventually Davian threatens Julia's life in order to get away with his evil plan. Simon Pegg appears as an IMF tech expert. ~ Perry Seibert, Rovi
Sybil Ludington|Kim Robinson|'The courage to make a difference, the courage to stand, the courage to bring about change.' The movie, Sybil Ludington, is a period film that inspires and encourages all to boldly go after what has been set before them to do with courage and faith. It inspires families and youth that what they have before them to do can make a difference for not only themselves, those around them, but their country.
Alamo The Thirteen Days Of Glory|Burt Kennedy|The valor and anguish of the Alamo is resurrected in this '80s effort that features a considerably accomplished cast. Brian Keith plays Davy Crockett and James Arness is Jim Bowie who, although at odds at times with his leader Colonel William Travis (Alec Baldwin), is able to focus upon the battle against the Mexican soldiers. Highlights of this film are the battle action scenes.
Pony Express Rider|Robert Totten|In pre-Civil War Texas, Jimmy's (Stewart Petersen) father is murdered, and the young man seeks revenge. As the killer flees across the country, Jimmy joins the Pony Express, using their speed to his advantage. In his pursuit into the frontier wilderness, he meets Rose of Sharon (Maureen McCormick) and unexpectedly falls in love.
Time Stalkers|Michael Schultz|The "history is inviolate" theory so chillingly elucidated in Ray Bradbury's The Sound of Thunder is recycled for the made-for-TV Timestalkers. William Devane plays a genially eccentric professor who teams with time traveller Lauren Hutton to prevent the course of history from being disastrously altered. In a manner slightly reminiscent of the 1984 movie hit The Terminator, Devane and Hutton must deal with Klaus Kinski, a mad scientist from the 26th century, who plans to hopscotch through time, spreading death and destruction wherever he goes. The odyssey takes the main characters to all manner of locales, including the Old West. Veteran actor Forrest Tucker made his final screen appearance in Timestalkers, which originally aired March 10, 1987.
